,320CH1-A,320CH2-A,320CH3-A,320CH4-A,320CH5-A,320CH6-A,320CH7-A,320CH8-A,320CH9-A,320CH10-A,320CH11-A,320CH12-A,320CH13-A,320CH14-A,320CH15-A,320CH16-A,320CH17-A,320CH18-A,320CH19-A,320CH20-A,320CH21-A,320CH22-A,320CH23-A,320CH24-A,320CH25-A,320CH26-A,320CH27-A,320CH28-A,320CH29-A,320CH30-A,320CH31-A,320CH32-A,320CH33-A,320CH34-A,320CH35-A,355CH1-A,355CH2-A,355CH3-A,355CH4-A,355CH5-A,355CH6-A,355CH7-A,355CH8-A,355CH9-A,355CH10-A,355CH11-A,355CH12-A,355CH13-A,355CH14-A,355CH15-A,355CH16-A,355CH17-A,355CH18-A,355CH19-A,355CH20-A,355CH21-A,355CH22-A,355CH23-A,355CH24-A,355CH25-A,355CH26-A,355CH27-A,355CH28-A,355CH29-A,355CH30-A,355CH31-A,355CH32-A,355CH33-A,355CH34-A,355CH35-A,405CH1-A,405CH2-A,405CH3-A,405CH4-A,405CH5-A,405CH6-A,405CH7-A,405CH8-A,405CH9-A,405CH10-A,405CH11-A,405CH12-A,405CH13-A,405CH14-A,405CH15-A,405CH16-A,405CH17-A,405CH18-A,405CH19-A,405CH20-A,405CH21-A,405CH22-A,405CH23-A,405CH24-A,405CH25-A,405CH26-A,405CH27-A,405CH28-A,405CH29-A,405CH30-A,405CH31-A,405CH32-A,405CH33-A,405CH34-A,405CH35-A,488CH4-A,488CH5-A,488CH6-A,488CH7-A,488CH8-A,488CH9-A,488CH10-A,488CH11-A,488CH12-A,488CH13-A,488CH14-A,488CH15-A,488CH16-A,488CH17-A,488CH18-A,488CH19-A,488CH20-A,488CH21-A,488CH22-A,488CH23-A,488CH24-A,488CH25-A,488CH26-A,488CH27-A,488CH28-A,488CH29-A,488CH30-A,488CH31-A,488CH32-A,488CH33-A,488CH34-A,488CH35-A,561CH10-A,561CH11-A,561CH12-A,561CH13-A,561CH14-A,561CH15-A,561CH16-A,561CH17-A,561CH18-A,561CH19-A,561CH20-A,561CH21-A,561CH22-A,561CH23-A,561CH24-A,561CH25-A,561CH26-A,561CH27-A,561CH28-A,561CH29-A,561CH30-A,561CH31-A,561CH32-A,561CH33-A,561CH34-A,561CH35-A,637CH17-A,637CH18-A,637CH19-A,637CH20-A,637CH21-A,637CH22-A,637CH23-A,637CH24-A,637CH25-A,637CH26-A,637CH27-A,637CH28-A,637CH29-A,637CH30-A,637CH31-A,637CH32-A,637CH33-A,637CH34-A,637CH35-A
BB660,0.003258858,0.00048042,0.000225663,-0.000116873,0.00045309,0.00071873,0.001817492,0.001746467,0.000279892,0.001220016,0.003183747,0.003505978,0.003469601,0.004202979,0.00225405,0.003231616,0.034918942,0.053969088,0.039192227,0.02777901,0.018364525,0.014938377,0.012689633,0.010505928,0.007692413,0.004953831,0.004060438,0.002821099,0.002481464,0.001825027,0.001156466,0.000841517,0.00067069,0.00038923,0.000210526,0.000907326,0.000547141,0.000233436,0.000278251,0.001191243,0.001982357,0.002405366,0.002089937,0.000261832,0.001371313,0.003312451,0.003395376,0.003057954,0.003548524,0.002890922,0.005336042,0.054787698,0.067009976,0.057145989,0.03680285,0.02242739,0.018654795,0.015560165,0.013830968,0.011121208,0.007199376,0.00524386,0.00401311,0.003560179,0.002621453,0.002886762,0.00180056,0.00129827,0.000881181,0.00040293,4.83E-05,0.000520356,0.000504632,0.002699565,0.009417189,0.02197848,0.03382223,0.036731297,0.006851529,0.024629011,0.04994479,0.053273129,0.055041329,0.081723415,0.05178099,0.068430881,0.723373771,1,0.739193317,0.473687983,0.326440631,0.254754731,0.219377155,0.176863958,0.11999776,0.089027479,0.061089596,0.046320141,0.032901811,0.029919734,0.023238813,0.021978601,0.014487719,0.012849314,0.006161275,0.003012474,0.008226801,0.018673596,0.035418782,0.042740304,0.011528183,0.017297006,0.061729452,0.066379729,0.062373947,0.075402972,0.057935762,0.033513038,0.572125174,0.962140174,0.830955908,0.596918344,0.386604747,0.259649499,0.204233623,0.170347274,0.13404539,0.096467964,0.067730328,0.048800109,0.039117143,0.030850265,0.023379372,0.018873571,0.014227993,0.01192982,0.009037768,0.000932688,0.000955622,0.000883934,0.001552326,0.005783126,0.004784047,0.015200331,0.114624792,0.152230636,0.108458691,0.070942125,0.049260667,0.038116906,0.033533251,0.02691104,0.02139008,0.01524181,0.009903987,0.008320121,0.005618516,0.004690604,0.00350634,0.00201283,0.001749925,0.000982155,0.001118044,0.468368817,0.602588674,0.493077733,0.331162779,0.216187517,0.165690704,0.150938948,0.123670678,0.095939638,0.067649508,0.047392726,0.033617389,0.024495501,0.018957774,0.016074069,0.013613703,0.009782594,0.006795342,0.005763199
BB755,0.012138361,0.001400736,0.001259099,0.001171579,0.00224182,0.004010005,0.006562719,0.006882315,0.002078859,0.004825836,0.013199701,0.014510338,0.012097684,0.011576893,0.005126252,0.000567318,0.005464439,0.006224531,0.006001423,0.005020942,0.006629267,0.008213415,0.014261418,0.029579451,0.049230183,0.059865645,0.061839766,0.046751353,0.038597201,0.029368541,0.0230924,0.017275469,0.014461744,0.010347426,0.008256161,0.003105924,0.002216981,0.00124116,-0.000567097,0.003120026,0.007914335,0.006870762,0.00835735,0.002400926,0.00567265,0.012190101,0.011337887,0.010627523,0.008659783,0.005189827,0.00182114,0.006656198,0.006906707,0.006789979,0.004880158,0.005945121,0.009245036,0.019057374,0.050633641,0.084624377,0.103888285,0.097880242,0.089851902,0.069838212,0.053517231,0.048760635,0.02962802,0.025755726,0.023207815,0.015937475,-0.000510165,0.002079758,0.002265123,0.053860546,0.046320132,0.08868101,0.12044859,0.141874714,0.026851215,0.089980951,0.190651296,0.21256117,0.201296716,0.225980362,0.092346588,0.01361396,0.116332553,0.141787937,0.113820438,0.10080087,0.098366055,0.137366097,0.262725087,0.534795123,0.799358537,1,0.943649473,0.776031634,0.604898513,0.451605788,0.336377718,0.312770575,0.236138815,0.219368359,0.146225074,0.01301617,0.040066978,0.078521791,0.149093527,0.177734495,0.050695217,0.071668655,0.249486225,0.273781415,0.242676733,0.223849911,0.115416551,0.011963678,0.096544522,0.133884821,0.126671073,0.118978425,0.109177258,0.12095492,0.209970086,0.417770678,0.727148059,0.966519968,0.958592668,0.804814825,0.660400102,0.466710066,0.367490704,0.29126153,0.241296908,0.207501601,0.220299076,0.001060482,0.005193288,0.002374495,0.003985195,0.002601892,0.001815279,1.10E-05,0.000254527,0.000787624,0.001081122,0.000489073,-0.000685749,0.006075742,0.013811522,0.025433388,0.049097181,0.06576706,0.063063747,0.05299576,0.041930196,0.023401898,0.020373826,0.016947574,0.014355271,0.010100902,0.008968462,0.002274767,0.000271099,0.000290194,0.000437428,0.002983499,0.008274552,0.028101856,0.057694676,0.106519258,0.134766773,0.142156078,0.108645825,0.083205185,0.064294636,0.051692251,0.04228493,0.035303452,0.026185359,0.020134326
BB790,0.001791307,0.000406531,1.51E-05,-0.000163085,0.002467161,0.006819048,0.012202279,0.013123605,0.002269987,0.007591296,0.019159455,0.019344655,0.017272071,0.014586318,0.005061051,0.000694951,0.006259694,0.008333356,0.006697471,0.006967698,0.005427953,0.004162101,0.004515326,0.005798961,0.011361071,0.020555956,0.037848418,0.059380086,0.075443404,0.072343915,0.057072442,0.044070825,0.03069866,0.018985225,0.010694207,0.000721691,0.000223347,0.000142873,0.00175134,0.003723843,0.007133697,0.01223275,0.012527446,0.002383464,0.007803873,0.017795541,0.016992394,0.014982119,0.01142653,0.004735639,0.001129993,0.006934516,0.006995168,0.007019405,0.005811757,0.004337131,0.004152274,0.004226821,0.007410602,0.01431026,0.03171338,0.057720954,0.094722145,0.112218689,0.121410567,0.106621739,0.079917241,0.053951187,0.036415112,0.023422044,0.000353079,0.000602192,0.000655217,0.020190665,0.036605336,0.096448706,0.166098477,0.177425404,0.030036355,0.100651515,0.207873396,0.216713981,0.20057694,0.213467145,0.084808278,0.012754979,0.102065349,0.120439682,0.101933419,0.080536215,0.066657732,0.057047763,0.057798103,0.079305746,0.137426202,0.298117288,0.515505386,0.74445043,0.902824564,0.938789519,0.765114566,0.620556531,0.415170262,0.29169476,0.169956787,0.022457651,0.042074307,0.108105517,0.206505469,0.245237096,0.066594083,0.088411421,0.296298641,0.314749822,0.270556352,0.237956276,0.118130849,0.010296206,0.088991199,0.125480807,0.116680091,0.108249724,0.08717242,0.062536718,0.055821916,0.072693262,0.136216085,0.278318447,0.501774233,0.750958881,1,0.98590942,0.850313617,0.643369903,0.455617712,0.326066561,0.233871159,0.002984583,0.004749964,0.004555197,0.004252888,0.004232444,0.001238202,0.000323683,0.001588407,0.002807341,0.002539417,0.002121822,0.001187749,0.001944814,0.00205946,0.002333582,0.006148203,0.01260089,0.021826491,0.035362348,0.039918196,0.036685601,0.032159492,0.023895601,0.015952853,0.009449031,0.007699591,0.000862827,0.000907374,0.001079325,0.00153448,0.001474958,0.001378185,0.001903231,0.004324598,0.012185466,0.025681912,0.049726008,0.073310274,0.088415553,0.091479734,0.080869318,0.063821608,0.043389656,0.029476966,0.020520509
BUV395,1,0.462969428,0.149568703,0.048318118,0.039998908,0.023143547,0.013698348,0.006990569,0.000805669,0.000935518,0.002188084,0.001458193,0.000848857,0.000573348,0.00012472,1.63E-05,0.000135159,0.000147072,9.52E-05,8.24E-05,7.87E-05,9.85E-05,0.000185895,0.000609779,0.001190217,0.000937878,0.000717204,0.000277548,5.56E-05,1.18E-06,-4.44E-06,-5.52E-06,1.14E-07,-1.14E-05,-6.46E-06,0.453520001,0.184455191,0.065049666,0.025361753,0.026273692,0.01755724,0.010557135,0.005424657,0.000880831,0.000473851,0.001276136,0.000869096,0.000520262,0.000297461,0.000126344,1.66E-05,9.36E-05,8.87E-05,8.38E-05,6.05E-05,2.46E-05,3.20E-05,6.15E-05,0.000239595,0.000479746,0.000493603,0.000297641,0.000196968,0.000114041,3.64E-05,1.32E-05,2.01E-05,1.29E-05,2.73E-06,6.88E-06,0.002320763,0.001147674,0.000303193,9.54E-05,0.000156378,-5.06E-05,0.000102207,3.45E-05,-4.24E-05,4.37E-06,4.68E-05,5.81E-05,7.65E-06,-6.51E-06,-6.09E-06,1.51E-05,-2.45E-05,-2.95E-06,1.42E-05,-1.18E-05,6.19E-06,1.59E-05,2.88E-05,9.87E-06,-6.39E-06,3.15E-05,-7.40E-06,1.01E-05,-6.22E-06,8.43E-06,-5.53E-06,-3.91E-06,-6.55E-06,-4.68E-06,4.21E-07,-1.06E-07,-5.07E-05,-5.28E-06,-3.35E-05,-4.54E-05,-3.49E-06,-1.35E-05,2.74E-06,4.21E-05,7.96E-06,1.20E-05,-5.53E-06,1.79E-06,-2.09E-06,-2.29E-06,-6.13E-06,2.16E-06,4.19E-06,9.88E-06,3.50E-06,1.13E-06,-5.17E-06,3.66E-07,9.16E-06,7.63E-06,3.37E-06,2.87E-06,-2.36E-06,-3.73E-06,6.04E-07,3.21E-06,1.65E-06,-7.56E-05,5.99E-05,3.29E-05,-4.64E-05,2.83E-05,2.18E-05,-6.31E-06,5.54E-06,-3.06E-08,4.61E-05,-2.98E-05,9.62E-05,-4.65E-05,4.78E-05,-7.90E-07,-1.55E-06,8.37E-06,-6.96E-08,2.95E-06,2.67E-06,-1.61E-06,1.31E-06,-4.90E-07,1.91E-06,1.33E-06,1.97E-06,-5.73E-06,-6.78E-06,-9.01E-06,6.74E-06,7.01E-06,-7.96E-06,-3.00E-06,-1.14E-06,3.44E-06,2.04E-06,-9.16E-06,-4.40E-06,1.32E-05,3.51E-06,-2.11E-05,8.04E-05,-1.10E-05,5.37E-05,-1.03E-06
BUV496,0.089031558,0.083104012,0.080716376,1,0.966818498,0.710240491,0.522910519,0.308599369,0.040922813,0.050850744,0.125410478,0.085719798,0.056903421,0.036444562,0.01121187,0.001808845,0.009945913,0.009398667,0.006575845,0.005493551,0.003607953,0.002831565,0.005217243,0.017059658,0.033921142,0.032212314,0.027816925,0.020739998,0.010209103,0.003644479,0.000271769,0.000702488,0.000271199,4.17E-05,0.000121081,0.051798637,0.041202282,0.033444633,0.399508211,0.474380531,0.40119376,0.301955424,0.182347339,0.031858828,0.020965689,0.058571296,0.042643826,0.028187567,0.017522134,0.007076171,0.000963224,0.005129035,0.004534597,0.003663938,0.002688009,0.001763847,0.001385186,0.001817918,0.005166462,0.010279345,0.01100335,0.008672918,0.006668268,0.003688756,0.00138734,0.000772252,0.000968975,0.000978163,0.000639373,0.000491015,0.005928018,0.006963552,0.051628348,0.423414496,0.398193923,0.322532657,0.260152733,0.154347006,0.020863224,0.022548694,0.046519419,0.033722956,0.023322439,0.020226831,0.006201324,0.000964254,0.004857667,0.004153237,0.002972588,0.00230254,0.001609909,0.001006216,0.001698368,0.004477317,0.009592845,0.010244604,0.008170442,0.006104685,0.00324504,0.001256904,0.000657521,0.001123491,0.000757213,0.000256873,0.000166024,0.039270737,0.033491639,0.029832719,0.023650412,0.01504804,0.002589895,0.00194896,0.005127487,0.003933909,0.002432633,0.001778577,0.000633548,2.65E-05,0.000398261,0.000376836,0.000291562,0.00021926,0.000118092,7.55E-05,7.74E-05,0.000187292,0.000391868,0.000522407,0.000374627,0.00028367,0.000117864,3.40E-05,1.24E-05,9.61E-06,2.32E-05,-4.07E-06,9.95E-06,1.82E-05,0.000323541,0.000231105,-5.70E-05,0.000138934,3.93E-05,7.00E-06,9.34E-05,-1.77E-05,0.000144116,8.57E-05,0.000255975,6.03E-05,4.24E-05,8.11E-05,7.12E-05,-7.03E-07,2.13E-05,2.54E-05,7.52E-06,-3.88E-06,6.08E-06,-5.21E-06,5.38E-08,2.21E-06,-1.37E-06,-3.84E-05,7.54E-05,-1.54E-05,2.08E-05,1.84E-05,1.99E-06,-9.89E-07,2.61E-05,1.74E-05,3.36E-05,3.93E-06,-1.18E-05,-3.09E-06,6.43E-05,8.05E-05,0.000118684,-3.58E-05,3.64E-05,-1.62E-05
BUV563,0.141626295,0.130548257,0.051484861,0.023937198,0.02156939,0.038914334,0.21755972,0.559751208,0.127097454,0.390181153,0.90152049,0.574153513,0.40456187,0.295934295,0.093988215,0.014186591,0.072232297,0.065851789,0.045667577,0.038270201,0.027796816,0.018475653,0.013621762,0.009743702,0.006935101,0.006150689,0.009035604,0.018155338,0.018379326,0.014469105,0.012650144,0.02278419,0.018328155,0.011459688,0.008109235,0.073349729,0.059017473,0.025430547,0.013770726,0.014602141,0.022814638,0.117081443,0.330869506,0.106043144,0.16540751,0.446249451,0.304155025,0.211331116,0.147789074,0.062167866,0.007573859,0.038622678,0.033655866,0.026654814,0.02020726,0.013007753,0.009452695,0.006598734,0.00516328,0.004055431,0.003562107,0.004166817,0.007432428,0.007071823,0.005132921,0.005262465,0.007349466,0.007769317,0.005380392,0.00386537,0.001891633,0.001237335,0.000562228,0.000634681,0.000504924,0.003107116,0.020927295,0.05627028,0.013245861,0.036878812,0.072118256,0.048626189,0.035334386,0.034379961,0.010998614,0.001359257,0.007528798,0.006466018,0.004472715,0.003274327,0.002437137,0.001650855,0.001139466,0.000847575,0.000668377,0.000491,0.000626471,0.001028794,0.000995382,0.0008173,0.000757429,0.001385275,0.001059209,0.000439676,0.000206373,0.000539801,0.000497848,0.004625516,0.039909283,0.122335745,0.037924787,0.065850876,0.170371989,0.119656638,0.079862429,0.06470163,0.024434895,0.002172071,0.012735063,0.011568224,0.008683735,0.006829533,0.004705833,0.003059122,0.002035113,0.001516245,0.001069887,0.000948619,0.001066081,0.001787967,0.001758726,0.001528215,0.001030944,0.001742053,0.00136873,0.000858474,0.000568148,0.842198089,1,0.563821449,0.36827349,0.293161373,0.115615834,0.011813734,0.05627353,0.05938272,0.040541414,0.031285701,0.023803673,0.01585338,0.011506723,0.007710269,0.006045606,0.004588291,0.003694115,0.003043855,0.002579473,0.002087201,0.003551155,0.005002734,0.004393696,0.002289835,0.001715709,5.68E-05,5.70E-05,9.41E-05,6.44E-05,2.09E-05,2.52E-05,2.41E-05,2.27E-05,4.17E-05,5.51E-05,1.12E-05,2.54E-05,-1.32E-05,1.32E-05,7.07E-05,1.62E-05,7.75E-05,4.78E-05,9.94E-06
BUV615,0.078084487,0.073875643,0.029488593,0.013365447,0.011397763,0.006951337,0.004455216,0.002709218,0.000859614,0.013985275,0.124690499,0.41143371,0.740482404,0.73989966,0.248672834,0.038159166,0.210379899,0.226991664,0.18673128,0.168623843,0.121174181,0.083440554,0.059972021,0.043878036,0.032148319,0.024120093,0.019972436,0.015181179,0.011047607,0.005767456,0.003774085,0.004853272,0.007957197,0.013203728,0.014883562,0.040241086,0.032622372,0.01410568,0.007457799,0.007666861,0.005436482,0.003565808,0.002048017,0.00050723,0.005078834,0.048340164,0.178735734,0.348904188,0.358215356,0.161632753,0.019525835,0.109202405,0.11144823,0.107194222,0.087759729,0.057509158,0.041322752,0.028639328,0.022701713,0.01821308,0.014726384,0.011159486,0.009100603,0.00641821,0.004954982,0.003974396,0.003725768,0.004824786,0.006761289,0.007329143,0.000970454,0.000682133,0.000335303,0.001233994,-7.54E-05,0.000504055,0.000687031,0.000219627,0.000104066,0.002346318,0.018018229,0.067937002,0.134626602,0.183816366,0.062808782,0.008830802,0.047729143,0.047241129,0.040122739,0.031153233,0.023151141,0.015478451,0.010824396,0.007784262,0.006131953,0.004778528,0.003440967,0.002577128,0.001978775,0.001259268,0.000850604,0.000974216,0.001427722,0.002210304,0.002646477,-3.70E-05,-2.85E-05,-6.02E-06,-2.40E-05,-7.26E-06,5.79E-06,0.000467157,0.004189168,0.014812224,0.027233846,0.031729159,0.012643245,0.001066025,0.007314896,0.007742649,0.00705728,0.005869833,0.004102876,0.002644239,0.001734893,0.001317778,0.000982868,0.000809958,0.000553702,0.000378937,0.000220282,7.43E-05,9.61E-05,7.72E-05,8.39E-05,7.27E-05,0.000117374,0.040723161,0.159117873,0.472048152,0.88030749,1,0.416646397,0.043986535,0.219601458,0.271368896,0.225573562,0.185271667,0.139113094,0.091787597,0.068375727,0.047858845,0.04020361,0.031498154,0.024477629,0.018674377,0.013761786,0.009397023,0.006463509,0.005324229,0.005594164,0.00622283,0.007531488,0.002011678,0.002529628,0.002438247,0.001898757,0.001316051,0.000859115,0.000685242,0.000466125,0.000387424,0.000295796,0.000157027,0.000129102,8.10E-05,0.000106008,7.64E-05,3.04E-05,2.70E-05,4.46E-06,9.35E-06
BUV661,0.119701594,0.114282413,0.04656193,0.021300888,0.017814412,0.01125408,0.007248739,0.003694062,0.000590986,0.001255514,0.003193009,0.005673795,0.018415171,0.057367606,0.043024587,0.109800096,0.811272998,1,0.728337654,0.579414061,0.429335483,0.341805052,0.290734489,0.224037472,0.154436755,0.101260572,0.074418366,0.053828572,0.042800773,0.026375353,0.019115518,0.013664876,0.008191664,0.003867881,0.002621586,0.065289548,0.054366513,0.023756359,0.012086714,0.012596281,0.008902384,0.005860183,0.003277884,0.000591791,0.000539861,0.001523439,0.002872759,0.009689424,0.029744543,0.029667221,0.053020045,0.457228561,0.553695872,0.476457574,0.339628201,0.224785019,0.188408474,0.153202806,0.129474294,0.096990901,0.070541177,0.047922113,0.03807607,0.027651311,0.022896632,0.018099667,0.015421944,0.010375059,0.007919603,0.005105104,0.001594467,0.000355541,0.000418401,-0.000249524,0.000175314,0.000672245,0.001192428,0.000786479,2.75E-05,0.000416335,0.000334276,0.000987658,0.00330043,0.014189775,0.010900658,0.027160512,0.196217956,0.223800702,0.167968089,0.114095229,0.085663584,0.067361867,0.057315637,0.044079078,0.031358393,0.021993464,0.015067699,0.010922894,0.007795479,0.005958504,0.004470143,0.003368259,0.002431663,0.001407045,0.000587891,0.000115754,2.47E-05,-1.94E-06,8.10E-05,2.66E-05,5.14E-06,9.78E-05,-4.70E-05,0.000295508,0.000421983,0.001504369,0.001305394,0.001610461,0.016375573,0.020501694,0.016856965,0.012333942,0.008660635,0.006469262,0.005200055,0.004251889,0.003115175,0.002097201,0.001380876,0.000912893,0.000644937,0.000233412,0.000260117,0.000160731,0.000131341,6.71E-05,7.20E-05,0.000488757,0.001161726,0.002512632,0.009858777,0.033303223,0.029330549,0.044196452,0.33088628,0.475822302,0.356730995,0.253918034,0.194287928,0.148560855,0.128691184,0.094851723,0.07462973,0.052252101,0.03619523,0.026705648,0.020444651,0.014674479,0.010921478,0.008331497,0.006036381,0.003439508,0.00253043,0.791017391,0.911613679,0.763486429,0.495702382,0.362608684,0.27893087,0.249638031,0.198297817,0.15742395,0.109092712,0.080466959,0.058074114,0.04398272,0.03487563,0.029039225,0.023472417,0.017127269,0.012317327,0.009586095
BUV737,0.248995732,0.236798414,0.094016014,0.040501534,0.034183762,0.020221126,0.013090621,0.007333151,0.000741306,0.001380116,0.002279332,0.002168576,0.001568986,0.000909888,0.000635633,-0.000103334,0.001748635,0.00319244,0.009825377,0.035194306,0.10547833,0.288072967,0.668039217,1,0.98804001,0.708346109,0.494098527,0.336205983,0.269726559,0.185080614,0.152951323,0.125739239,0.095628546,0.062450784,0.031983541,0.138807733,0.114188353,0.049753201,0.02432533,0.026643752,0.018375689,0.011632809,0.006383068,0.001010826,0.000537462,0.001718278,0.001340937,0.001020449,0.000637823,0.000331491,5.99E-06,0.000689903,0.001789183,0.005868054,0.019696835,0.053851071,0.153055501,0.347813821,0.599500913,0.669577359,0.53877621,0.352559839,0.260646846,0.188669732,0.167204408,0.150339958,0.141343397,0.102013515,0.080587113,0.04799507,0.003640279,0.003000612,0.000902532,0.002707846,0.001991485,0.002358719,0.001870868,0.001116405,0.000262185,0.000330745,0.001035911,0.000680111,0.001659009,0.000773912,0.000497108,4.52E-05,0.000196728,0.001102058,0.002131093,0.005689851,0.018040639,0.051271225,0.121641712,0.191507421,0.197358024,0.154547938,0.098850692,0.067354117,0.050879031,0.041302196,0.035623867,0.032448214,0.025455133,0.017493142,0.008637366,-3.08E-05,-0.000164116,-5.74E-05,-1.10E-05,5.31E-05,-2.10E-05,-0.000147776,-5.42E-05,-1.43E-05,0.000108681,0.000101346,0.000129432,6.45E-05,0.000133106,0.00043469,0.001139814,0.00397689,0.013931855,0.041464546,0.098235829,0.16804282,0.192040855,0.152953438,0.103143866,0.06944193,0.05209345,0.038817988,0.03571454,0.029556003,0.025975001,0.01925707,0.012476156,-3.19E-05,0.000170856,0.000431153,-7.51E-05,0.00014174,5.82E-05,1.67E-05,-6.12E-05,0.000190279,0.001104168,0.004002559,0.007438889,0.018961925,0.042944496,0.062937083,0.071765531,0.055701912,0.03649586,0.025684046,0.019038541,0.01413785,0.011783984,0.009394109,0.007243943,0.004086988,0.001638296,0.001106821,0.001040806,0.00356966,0.010963232,0.033058898,0.086851657,0.211231251,0.34066732,0.396864025,0.311003452,0.221053345,0.148406811,0.110331479,0.093820418,0.087531561,0.080306533,0.062730157,0.045539054,0.034530153
BUV805,1,0.954669496,0.383381889,0.163229647,0.137105768,0.087993249,0.058229954,0.029066898,0.003557088,0.005975603,0.015571944,0.01279459,0.006682457,0.005237326,0.002021391,0.000273624,0.004877306,0.005432395,0.002056839,0.004491014,0.004671172,0.004354692,0.006290542,0.008905795,0.016399306,0.028489192,0.078569916,0.234378825,0.588236362,0.837836675,0.962390821,0.795077639,0.49217073,0.273624445,0.126319588,0.536992051,0.444577928,0.192117769,0.096499112,0.10409801,0.072408787,0.047254996,0.025933096,0.004048115,0.003281576,0.010368134,0.008821545,0.006836177,0.005031541,0.002041862,0.000216643,0.002776454,0.002943057,0.003229371,0.002439514,0.00229367,0.002789972,0.003600568,0.006021658,0.010489187,0.021338702,0.051982383,0.152799527,0.356212794,0.69448028,0.940190827,0.890705314,0.541301526,0.33613144,0.167606101,0.013352227,0.006824034,0.00396034,0.00617318,0.00299164,0.006228505,-0.000200181,0.000801212,0.000673387,0.000823601,0.001098908,-9.39E-05,0.000627593,0.001492642,-0.000555013,-0.00037428,0.001301029,0.001218654,0.000954086,0.000698421,0.000502255,0.000415286,0.00101007,0.001118474,0.00191578,0.003167383,0.008549887,0.023204875,0.058508369,0.107364975,0.129157359,0.119861965,0.076198522,0.039657292,0.016166976,-0.000231452,0.000437644,-0.000100872,0.00015346,-2.07E-05,-2.65E-06,0.001030439,0.001666016,0.00191332,0.001142734,0.001425503,0.000510046,7.44E-05,0.000523853,0.000451908,0.000678941,0.000350058,0.000379393,9.72E-05,9.25E-05,0.000242167,0.000223003,0.000296282,0.000881879,0.00199589,0.00495805,0.007175897,0.012612597,0.011404818,0.006330575,0.002234443,0.001340831,0.00016928,0.003963087,0.002985031,0.003976558,0.002293027,0.001213177,0.000109219,0.002095211,0.00244357,0.003341144,0.000140652,0.000757925,0.003740198,0.001490851,0.001390054,0.00174275,0.002074272,0.002125978,0.007402056,0.018911079,0.033762141,0.04536678,0.040008781,0.023128996,0.006910773,0.001761504,0.003314633,0.005148413,0.004084761,0.003170124,0.002696512,0.002889716,0.003268615,0.003641248,0.005064168,0.007268956,0.015927363,0.042864846,0.101228713,0.191121093,0.260565726,0.249584606,0.167626741,0.095566124,0.061805048
BV421,1.67E-05,0.048676418,0.019203136,0.007025046,0.006116021,0.004106919,0.002396052,0.001150117,0.000122868,0.000180063,0.000411406,0.000252638,0.000163163,0.000104942,1.10E-05,-4.12E-06,4.29E-05,2.68E-05,2.34E-05,-6.04E-06,1.11E-05,-1.29E-05,2.28E-05,9.42E-05,0.000169036,0.000131496,8.02E-05,2.70E-05,9.22E-06,-4.87E-07,-2.37E-06,-5.01E-07,1.81E-06,-1.00E-06,-1.62E-06,-7.78E-05,0.040196486,0.017140462,0.007231991,0.00772294,0.005964755,0.003620955,0.001770049,0.000286904,0.000174443,0.000459545,0.000299272,0.000194233,0.000112821,4.64E-05,5.96E-06,2.69E-05,3.07E-05,1.64E-05,1.71E-05,1.12E-05,1.22E-05,2.39E-05,8.30E-05,0.000160325,0.000162812,0.000112334,7.63E-05,3.41E-05,1.17E-05,2.31E-06,8.86E-06,4.35E-06,3.85E-06,-1.30E-07,1,0.708050447,0.215271975,0.138209764,0.120108924,0.086845729,0.055605429,0.026889275,0.003585804,0.003594276,0.006829593,0.00443913,0.003045341,0.002628249,0.000806953,0.000122223,0.000577116,0.000537014,0.000412665,0.000299692,0.000233049,0.000180213,0.000466276,0.001602127,0.003222849,0.003072698,0.002268086,0.001389601,0.000702136,0.000256174,0.000146333,0.000190852,0.000157958,7.36E-05,2.56E-05,-4.14E-06,3.78E-06,8.47E-06,4.38E-06,2.15E-06,3.89E-06,5.42E-06,1.49E-05,2.48E-06,-8.18E-06,-3.30E-06,-1.56E-07,-1.43E-06,-4.70E-06,1.25E-06,2.38E-06,1.10E-06,-7.68E-09,-4.44E-07,-9.22E-07,-1.62E-06,3.45E-07,-6.29E-07,3.14E-08,-7.24E-07,7.53E-07,-2.96E-06,-1.50E-06,-1.68E-06,-5.63E-07,-2.12E-06,-1.21E-06,2.86E-05,-5.17E-07,-1.58E-05,1.79E-05,-1.03E-06,-3.87E-06,3.58E-06,-1.79E-06,8.88E-06,-1.34E-06,7.17E-06,-2.11E-05,3.08E-05,-1.10E-05,1.37E-06,1.12E-06,-5.80E-06,1.70E-06,2.80E-06,2.38E-06,1.34E-06,4.93E-07,8.92E-07,5.87E-07,1.92E-07,-6.26E-07,-1.60E-06,-1.02E-05,-1.40E-07,-8.17E-06,3.79E-06,2.54E-06,6.00E-06,4.14E-06,2.98E-06,2.60E-06,3.52E-06,1.13E-06,2.93E-06,1.31E-06,2.59E-06,-3.31E-06,-5.24E-06,-3.49E-06,2.02E-06
